;id;name;reaction_string
516;CYStex;L-cysteine transport via diffusion (extracellular to periplasm); 1:cys__L_e-> 1:cys__L_p
517;CYStpp;L-cysteine export via facilitated transport; 1:cys__L_c-> 1:cys__L_p
518;ADK4;Adentylate kinase (ITP); 1:amp_c +  1:itp_c-> 1:adp_c +  1:idp_c
519;CYTBD2pp;Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm); 2:h_c +  1:mql8_c +  0:o2_c-> 1:h2o_c +  2:h_p +  1:mqn8_c
520;CYTBDpp;Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm); 2:h_c +  0:o2_c +  1:q8h2_c-> 1:h2o_c +  2:h_p +  1:q8_c
521;DASYN181;CDP-diacylglycerol synthetase (n-C18:1); 1:ctp_c +  1:h_c +  1:pa181_c-> 1:cdpdodec11eg_c +  1:ppi_c
522;DATPHs;DATP amine hydrolysis (spontaneous); 1:datp_c +  1:h2o_c +  1:h_c-> 1:ditp_c +  1:nh4_c
523;ADMDC;Adenosylmethionine decarboxylase; 1:amet_c +  1:h_c-> 1:ametam_c +  1:co2_c
524;DB4PS;3,4-Dihydroxy-2-butanone-4-phosphate synthase; 1:ru5p__D_c-> 1:db4p_c +  1:for_c +  1:h_c
525;DBTS;Dethiobiotin synthase; 1:atp_c +  1:co2_c +  1:dann_c-> 1:adp_c +  1:dtbt_c +  3:h_c +  1:pi_c
526;CYTBO3_4pp;Cytochrome oxidase bo3 (ubiquinol-8: 4 protons) (periplasm); 4:h_c +  0:o2_c +  1:q8h2_c-> 1:h2o_c +  4:h_p +  1:q8_c
527;CYTD;Cytidine deaminase; 1:cytd_c +  1:h2o_c +  1:h_c-> 1:nh4_c +  1:uri_c
528;CYTDH;Cytidine hydrolase; 1:cytd_c +  1:h2o_c-> 1:csn_c +  1:rib__D_c
529;CYTDK2;Cytidine kinase (GTP); 1:cytd_c +  1:gtp_c-> 1:cmp_c +  1:gdp_c +  1:h_c
530;ADNCYC;Adenylate cyclase; 1:atp_c-> 1:camp_c +  1:ppi_c
531;CYTDt2pp_copy1;Cytidine transport in via proton symport (periplasm); 1:cytd_p +  1:h_p-> 1:cytd_c +  1:h_c
532;CYTDt2pp_copy2;Cytidine transport in via proton symport (periplasm); 1:cytd_p +  1:h_p-> 1:cytd_c +  1:h_c
533;ADNK1;Adenosine kinase; 1:adn_c +  1:atp_c-> 1:adp_c +  1:amp_c +  1:h_c
534;CYTDtex;Cytidine transport via diffusion (extracellular to periplasm); 1:cytd_e-> 1:cytd_p
535;CYTK1;Cytidylate kinase (CMP); 1:atp_c +  1:cmp_c-> 1:adp_c +  1:cdp_c
536;CYTK2;Cytidylate kinase (dCMP); 1:atp_c +  1:dcmp_c-> 1:adp_c +  1:dcdp_c
537;ADNUC;Adenosine hydrolase; 1:adn_c +  1:h2o_c-> 1:ade_c +  1:rib__D_c
538;DAAD;D-Amino acid dehydrogenase; 1:ala__D_c +  1:fad_c +  1:h2o_c-> 1:fadh2_c +  1:nh4_c +  1:pyr_c
539;DADA;Deoxyadenosine deaminase; 1:dad_2_c +  1:h2o_c +  1:h_c-> 1:din_c +  1:nh4_c
540;DADK;Deoxyadenylate kinase; 1:atp_c +  1:damp_c-> 1:adp_c +  1:dadp_c
541;DADNt2pp;Deoxyadenosine transport in via proton symport (periplasm); 1:dad_2_p +  1:h_p-> 1:dad_2_c +  1:h_c
542;DADNtex;Deoxyadenosine transport via diffusion (extracellular to periplasm); 1:dad_2_e-> 1:dad_2_p
543;DAGK120;Diacylglycerol kinase (n-C12:0); 1:12dgr120_c +  1:atp_c-> 1:adp_c +  1:h_c +  1:pa120_c
544;DAGK140;Diacylglycerol kinase (n-C14:0); 1:12dgr140_c +  1:atp_c-> 1:adp_c +  1:h_c +  1:pa140_c
545;DCAtex;Decanoate transport via diffusion (extracellular to periplasm); 1:dca_e-> 1:dca_p
546;DCMPtex;DCMP transport via diffusion (extracellular to periplasm); 1:dcmp_e-> 1:dcmp_p
547;DCTPD;DCTP deaminase; 1:dctp_c +  1:h2o_c +  1:h_c-> 1:dutp_c +  1:nh4_c
548;DCYTD;Deoxycytidine deaminase; 1:dcyt_c +  1:h2o_c +  1:h_c-> 1:duri_c +  1:nh4_c
549;DCYTt2pp;Deoxycytidine transport in via proton symport (periplasm); 1:dcyt_p +  1:h_p-> 1:dcyt_c +  1:h_c
550;DCYTtex;Deoxycytidine transport via diffusion (extracellular to periplasm); 1:dcyt_e-> 1:dcyt_p
551;DDCAtexi;Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm); 1:ddca_e-> 1:ddca_p
552;DDGALK;2-dehydro-3-deoxygalactonokinase; 1:2dh3dgal_c +  1:atp_c-> 1:2dh3dgal6p_c +  1:adp_c +  1:h_c
553;DDGLCNt2rpp;2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm); 1:2ddglcn_p +  1:h_p-> 1:2ddglcn_c +  1:h_c
554;DDGLCNtex;2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm); 1:2ddglcn_e-> 1:2ddglcn_p
555;ADNt2pp_copy1;Adenosine transport in via proton symport (periplasm); 1:adn_p +  1:h_p-> 1:adn_c +  1:h_c
556;DDGLK;2-dehydro-3-deoxygluconokinase; 1:2ddglcn_c +  1:atp_c-> 1:2ddg6p_c +  1:adp_c +  1:h_c
557;DMSOR2;Dimethyl sulfoxide reductase (Demethylmenaquinol 8); 1:2dmmql8_c +  1:dmso_c-> 1:2dmmq8_c +  1:dms_c +  1:h2o_c
558;DMSOR2pp;Dimethyl sulfoxide reductase (Demethylmenaquinol 8) (periplasm); 1:2dmmql8_c +  1:dmso_p-> 1:2dmmq8_c +  1:dms_p +  1:h2o_p
559;DDPA;3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase; 1:e4p_c +  1:h2o_c +  1:pep_c-> 1:2dda7p_c +  1:pi_c
560;ADNt2pp_copy2;Adenosine transport in via proton symport (periplasm); 1:adn_p +  1:h_p-> 1:adn_c +  1:h_c
561;DDPGALA;2-dehydro-3-deoxy-6-phosphogalactonate aldolase; 1:2dh3dgal6p_c-> 1:g3p_c +  1:pyr_c
562;DGK1;Deoxyguanylate kinase (dGMP:ATP); 1:atp_c +  1:dgmp_c-> 1:adp_c +  1:dgdp_c
563;DGMPtex;DGMP transport via diffusion (extracellular to periplasm); 1:dgmp_e-> 1:dgmp_p
564;DMSOtex;Dimethyl sulfoxide transport via diffusion (extracellular to periplasm); 1:dmso_e-> 1:dmso_p
565;DMStex;Dimethyl sulfide transport via diffusion (extracellular to periplasm); 1:dms_e-> 1:dms_p
566;DGSNt2pp;Deoxyguanosine transport in via proton symport (periplasm); 1:dgsn_p +  1:h_p-> 1:dgsn_c +  1:h_c
567;ADNtex;Adenosine transport via diffusion (extracellular to periplasm); 1:adn_e-> 1:adn_p
568;DGSNtex;Deoxyguanosine transport via diffusion (extracellular to periplasm); 1:dgsn_e-> 1:dgsn_p
569;DHAD1;Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate); 1:23dhmb_c-> 1:3mob_c +  1:h2o_c
570;ADOCBIK;Adenosyl cobinamide kinase; 1:adocbi_c +  1:atp_c-> 1:adocbip_c +  1:adp_c +  1:h_c
571;DHAD2;Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate); 1:23dhmp_c-> 1:3mop_c +  1:h2o_c
572;DHAPT;Dihydroxyacetone phosphotransferase; 1:dha_c +  1:pep_c-> 1:dhap_c +  1:pyr_c
573;DHAtex;Dihydroxyacetone transport via diffusion (extracellular to periplasm); 1:dha_e-> 1:dha_p
574;DHAtpp;Dihydroxyacetone transport via facilitated diffusion (periplasm); 1:dha_p-> 1:dha_c
575;DHBD;2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase; 1:23ddhb_c +  1:nad_c-> 1:23dhb_c +  1:h_c +  1:nadh_c
576;DNMPPA;Dihydroneopterin monophosphate dephosphorylase; 1:dhpmp_c +  1:h2o_c-> 1:dhnpt_c +  1:pi_c
577;DNTPPA;Dihydroneopterin triphosphate pyrophosphatase; 1:ahdt_c +  1:h2o_c-> 1:dhpmp_c +  1:h_c +  1:ppi_c
578;DHBS;2,3-dihydroxybenzoate adenylate synthase; 1:23dhb_c +  1:atp_c +  1:h_c-> 1:23dhba_c +  1:ppi_c
579;DHBSH;2,3-dihydroxybenzoylserine hydrolase; 1:23dhbzs_c +  1:h2o_c-> 1:23dhb_c +  1:ser__L_c
580;DHCIND;2,3-dihydroxycinnamate dehydrogenase; 1:cenchddd_c +  1:nad_c-> 1:dhcinnm_c +  1:h_c +  1:nadh_c
581;DOGULNR;2,3 dioxo-L-gulonate reductase; 1:23doguln_c +  1:h_c +  1:nadh_c-> 1:3dhguln_c +  1:nad_c
582;DOPAtex;Dopamine transport via diffusion (extracellular to periplasm); 1:dopa_e-> 1:dopa_p
583;ADOCBLS;Adenosylcobalamin 5'-phosphate synthase; 1:agdpcbi_c +  1:rdmbzi_c-> 1:adocbl_c +  1:gmp_c +  1:h_c
584;DPCOAK;Dephospho-CoA kinase; 1:atp_c +  1:dpcoa_c-> 1:adp_c +  1:coa_c +  1:h_c
585;DPR;2-dehydropantoate 2-reductase; 1:2dhp_c +  1:h_c +  1:nadph_c-> 1:nadp_c +  1:pant__R_c
586;DRPA;Deoxyribose-phosphate aldolase; 1:2dr5p_c-> 1:acald_c +  1:g3p_c
587;DHCINDO;2,3-dihydroxycinnamate 1,2-dioxygenase; 1:dhcinnm_c +  1:o2_c-> 1:h_c +  1:hkntd_c
588;DHDPRy;Dihydrodipicolinate reductase (NADPH); 1:23dhdp_c +  1:h_c +  1:nadph_c-> 1:nadp_c +  1:thdp_c
589;DHDPS;Dihydrodipicolinate synthase; 1:aspsa_c +  1:pyr_c-> 1:23dhdp_c +  2:h2o_c +  1:h_c
590;ADOCBLabcpp;Adenosylcobalamin transport via ABC system (periplasm); 1:adocbl_p +  1:atp_c +  1:h2o_c-> 1:adocbl_c +  1:adp_c +  1:h_c +  1:pi_c
591;DHFR;Dihydrofolate reductase; 1:dhf_c +  1:h_c +  1:nadph_c-> 1:nadp_c +  1:thf_c
592;DHFS;Dihydrofolate synthase; 1:atp_c +  1:dhpt_c +  1:glu__L_c-> 1:adp_c +  1:dhf_c +  1:h_c +  1:pi_c
593;DHNAOT4;1,4-dihydroxy-2-naphthoate octaprenyltransferase; 1:dhna_c +  1:h_c +  1:octdp_c-> 1:2dmmql8_c +  1:co2_c +  1:ppi_c
594;DSBAO1;DsbA protein reoxidation reaction (aerobic); 1:dsbard_p +  1:q8_c-> 1:dsbaox_p +  1:q8h2_c
595;DSBAO2;DsbA protein reoxidation reaction (anaerobic); 1:dsbard_p +  1:mqn8_c-> 1:dsbaox_p +  1:mql8_c
596;DSBCGT;DsbC:glutathione thiotransferase; 1:dsbcox_p +  2:gthrd_p-> 1:dsbcrd_p +  1:gthox_p
597;DSBDR;DsbD reductase; 1:dsbdox_c +  1:trdrd_c-> 1:dsbdrd_c +  1:trdox_c
598;DHNPA2r;Dihydroneopterin aldolase reversible; 1:dhnpt_c-> 1:6hmhpt_c +  1:gcald_c
599;DHORD2;Dihydoorotic acid dehydrogenase (quinone8); 1:dhor__S_c +  1:q8_c-> 1:orot_c +  1:q8h2_c
600;DSBGGT;DsbG:glutathione thiotransferase; 1:dsbgox_p +  2:gthrd_p-> 1:dsbgrd_p +  1:gthox_p
601;ADOCBLtonex;Adenosylcobalimin transport via ton system (extermal); 1:adocbl_e +  1:h_p-> 1:adocbl_p +  1:h_c
602;DSERDHr;D-serine dehydrogenase; 1:nadp_c +  1:ser__D_c-> 1:2amsa_c +  1:h_c +  1:nadph_c
603;DHORD5;Dihydroorotic acid (menaquinone-8); 1:dhor__S_c +  1:mqn8_c-> 1:mql8_c +  1:orot_c
604;ADPRDP;ADPribose diphosphatase; 1:adprib_c +  1:h2o_c-> 1:amp_c +  2:h_c +  1:r5p_c
605;DHORTS;Dihydroorotase; 1:dhor__S_c +  1:h2o_c-> 1:cbasp_c +  1:h_c
606;DSERt2pp;D-serine transport in via proton symport (periplasm); 1:h_p +  1:ser__D_p-> 1:h_c +  1:ser__D_c
607;DSERtex;D-serine transport via diffusion (extracellular to periplasm); 1:ser__D_e-> 1:ser__D_p
608;DTMPK;DTMP kinase; 1:atp_c +  1:dtmp_c-> 1:adp_c +  1:dtdp_c
609;DHPPD;2,3-dihydroxyphenylpropionate dehydrogenase; 1:cechddd_c +  1:nad_c-> 1:dhpppn_c +  1:h_c +  1:nadh_c
610;DHPPDA2;Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp); 1:25drapp_c +  1:h2o_c +  1:h_c-> 1:5apru_c +  1:nh4_c
611;DHPS2;Dihydropteroate synthase; 1:4abz_c +  1:6hmhptpp_c-> 1:dhpt_c +  1:ppi_c
612;DHPTDCs;4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous); 1:dhptd_c-> 1:h2o_c +  1:hmfurn_c
613;DTMPtex;DTMP transport via diffusion (extracellular to periplasm); 1:dtmp_e-> 1:dtmp_p
614;DUMPtex;DUMP transport via diffusion (extracellular to periplasm); 1:dump_e-> 1:dump_p
615;DURIK1;Deoxyuridine kinase (ATP:Deoxyuridine); 1:atp_c +  1:duri_c-> 1:adp_c +  1:dump_c +  1:h_c
616;DHPTPE;Dihydroneopterin triphosphate 2'-epimerase; 1:ahdt_c-> 1:dhmptp_c
617;ADPT;Adenine phosphoribosyltransferase; 1:ade_c +  1:prpp_c-> 1:amp_c +  1:ppi_c
618;DHQS;3-dehydroquinate synthase; 1:2dda7p_c-> 1:3dhq_c +  1:pi_c
619;DHQTi;3-dehydroquinate dehydratase, irreversible; 1:3dhq_c-> 1:3dhsk_c +  1:h2o_c
620;DURIPP;Deoxyuridine phosphorylase; 1:duri_c +  1:pi_c-> 1:2dr1p_c +  1:ura_c
621;DURIt2pp;Deoxyuridine transport in via proton symport (periplasm); 1:duri_p +  1:h_p-> 1:duri_c +  1:h_c
622;DURItex;Deoxyuridine transport via diffusion (extracellular to periplasm); 1:duri_e-> 1:duri_p
623;DUTPDP;DUTP diphosphatase; 1:dutp_c +  1:h2o_c-> 1:dump_c +  1:h_c +  1:ppi_c
624;DIMPtex;DIMP transport via diffusion (extracellular to periplasm); 1:dimp_e-> 1:dimp_p
625;DINSt2pp;Deoxyinosine transport in via proton symport (periplasm); 1:din_p +  1:h_p-> 1:din_c +  1:h_c
626;DXPRIi;1-deoxy-D-xylulose reductoisomerase; 1:dxyl5p_c +  1:h_c +  1:nadph_c-> 1:2me4p_c +  1:nadp_c
627;ADSK;Adenylyl-sulfate kinase; 1:aps_c +  1:atp_c-> 1:adp_c +  1:h_c +  1:paps_c
628;DXPS;1-deoxy-D-xylulose 5-phosphate synthase; 1:g3p_c +  1:h_c +  1:pyr_c-> 1:co2_c +  1:dxyl5p_c
629;DINStex;Deoxyinosine transport via diffusion (extracellular to periplasm); 1:din_e-> 1:din_p
630;DKGLCNR1;2,5-diketo-D-gluconate reductase; 1:25dkglcn_c +  1:h_c +  1:nadph_c-> 1:2dhguln_c +  1:nadp_c
631;DXYLK;1-Deoxy-D-xylulose kinase; 1:atp_c +  1:dxyl_c-> 1:adp_c +  1:dxyl5p_c +  1:h_c
632;EDTXS3;Endotoxin Synthesis (palmitoleoyl ACP); 1:hdeACP_c +  1:kdo2lipid4_c-> 1:ACP_c +  1:kdo2lipid4p_c
633;D_LACt2pp;D-lactate transport via proton symport (periplasm); 1:h_p +  1:lac__D_p-> 1:h_c +  1:lac__D_c
634;D_LACtex;D-lactate transport via diffusion (extracellular to periplasm); 1:lac__D_e-> 1:lac__D_p
635;E4PD;Erythrose 4-phosphate dehydrogenase; 1:e4p_c +  1:h2o_c +  1:nad_c-> 1:4per_c +  2:h_c +  1:nadh_c
636;EAR100x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0); 1:h_c +  1:nadh_c +  1:tdec2eACP_c-> 1:dcaACP_c +  1:nad_c
637;DKGLCNR2x;2,5-diketo-D-gluconate reductase (NADH); 1:25dkglcn_c +  1:h_c +  1:nadh_c-> 1:5dglcn_c +  1:nad_c
638;DKGLCNR2y;2,5-diketo-D-gluconate reductase (NADPH); 1:25dkglcn_c +  1:h_c +  1:nadph_c-> 1:5dglcn_c +  1:nadp_c
639;DKMPPD;2,3-diketo-5-methylthio-1-phosphopentane degradation reaction; 1:dkmpp_c +  1:h2o_c +  1:o2_c-> 1:2kmb_c +  1:for_c +  2:h_c +  1:pi_c
640;DKMPPD3;2,3-diketo-5-methylthio-1-phosphopentane degradation reaction; 1:dkmpp_c +  3:h2o_c +  2:nad_c-> 1:2kmb_c +  1:for_c +  4:h_c +  2:nadh_c +  1:pi_c
641;DMATT;Dimethylallyltranstransferase; 1:dmpp_c +  1:ipdp_c-> 1:grdp_c +  1:ppi_c
642;EAR100y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0); 1:h_c +  1:nadph_c +  1:tdec2eACP_c-> 1:dcaACP_c +  1:nadp_c
643;DMPPS;1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp); 1:h2mb4p_c +  1:h_c +  1:nadh_c-> 1:dmpp_c +  1:h2o_c +  1:nad_c
644;DMQMT;3-Dimethylubiquinonol 3-methyltransferase; 1:2omhmbl_c +  1:amet_c-> 1:ahcys_c +  1:h_c +  1:q8h2_c
645;DMSOR1;Dimethyl sulfoxide reductase (Menaquinol 8); 1:dmso_c +  1:mql8_c-> 1:dms_c +  1:h2o_c +  1:mqn8_c
646;DMSOR1pp;Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm); 1:dmso_p +  1:mql8_c-> 1:dms_p +  1:h2o_p +  1:mqn8_c
647;EAR120x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0); 1:h_c +  1:nadh_c +  1:tddec2eACP_c-> 1:ddcaACP_c +  1:nad_c
648;EAR120y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0); 1:h_c +  1:nadph_c +  1:tddec2eACP_c-> 1:ddcaACP_c +  1:nadp_c
649;EAR121x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1); 1:h_c +  1:nadh_c +  1:t3c5ddeceACP_c-> 1:cddec5eACP_c +  1:nad_c
650;EAR121y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1); 1:h_c +  1:nadph_c +  1:t3c5ddeceACP_c-> 1:cddec5eACP_c +  1:nadp_c
651;EAR140x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0); 1:h_c +  1:nadh_c +  1:tmrs2eACP_c-> 1:myrsACP_c +  1:nad_c
652;EAR140y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0); 1:h_c +  1:nadph_c +  1:tmrs2eACP_c-> 1:myrsACP_c +  1:nadp_c
653;EDTXS4;Endotoxin Synthesis (myristoyl transferase); 1:kdo2lipid4p_c +  1:myrsACP_c-> 1:ACP_c +  1:lipa_cold_c
654;EAR141x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1); 1:h_c +  1:nadh_c +  1:t3c7mrseACP_c-> 1:nad_c +  1:tdeACP_c
655;EAR141y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1); 1:h_c +  1:nadph_c +  1:t3c7mrseACP_c-> 1:nadp_c +  1:tdeACP_c
656;EAR160x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0); 1:h_c +  1:nadh_c +  1:tpalm2eACP_c-> 1:nad_c +  1:palmACP_c
657;EAR160y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0); 1:h_c +  1:nadph_c +  1:tpalm2eACP_c-> 1:nadp_c +  1:palmACP_c
658;EAR161x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1); 1:h_c +  1:nadh_c +  1:t3c9palmeACP_c-> 1:hdeACP_c +  1:nad_c
659;ENLIPAtex;Phosphoethanolamine lipid A transport via vector (periplasm to extracellular); 1:enlipa_p-> 1:enlipa_e
660;EAR161y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1); 1:h_c +  1:nadph_c +  1:t3c9palmeACP_c-> 1:hdeACP_c +  1:nadp_c
661;EAR180x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0); 1:h_c +  1:nadh_c +  1:toctd2eACP_c-> 1:nad_c +  1:ocdcaACP_c
662;EAR180y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0); 1:h_c +  1:nadph_c +  1:toctd2eACP_c-> 1:nadp_c +  1:ocdcaACP_c
663;ENO;Enolase; 1:2pg_c-> 1:h2o_c +  1:pep_c
664;EAR181x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1); 1:h_c +  1:nadh_c +  1:t3c11vaceACP_c-> 1:nad_c +  1:octeACP_c
665;EAR181y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1); 1:h_c +  1:nadph_c +  1:t3c11vaceACP_c-> 1:nadp_c +  1:octeACP_c
666;ENTCS;Enterochelin synthase; 3:23dhba_c +  3:seramp_c-> 6:amp_c +  1:enter_c +  9:h_c
667;EAR40x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0); 1:but2eACP_c +  1:h_c +  1:nadh_c-> 1:butACP_c +  1:nad_c
668;EAR40y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0); 1:but2eACP_c +  1:h_c +  1:nadph_c-> 1:butACP_c +  1:nadp_c
669;EAR60x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0); 1:h_c +  1:nadh_c +  1:thex2eACP_c-> 1:hexACP_c +  1:nad_c
670;EAR60y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0); 1:h_c +  1:nadph_c +  1:thex2eACP_c-> 1:hexACP_c +  1:nadp_c
671;EAR80x;Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0); 1:h_c +  1:nadh_c +  1:toct2eACP_c-> 1:nad_c +  1:ocACP_c
672;EAR80y;Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0); 1:h_c +  1:nadph_c +  1:toct2eACP_c-> 1:nadp_c +  1:ocACP_c
673;ECA4COLIPAtex;Enterobacterial common antigen (x4) core oligosaccharide lipid A transport (periplasm to extracellular); 1:eca4colipa_p-> 1:eca4colipa_e
674;ECA4OALpp;Enterobacterial common antigen (x4) O-antigen ligase (periplasm); 1:colipa_p +  1:eca4und_p-> 1:eca4colipa_p +  1:h_p +  1:udcpdp_p
675;ECAP1pp;Enterobacterial common antigen polymerase (periplasm); 2:unagamuf_p-> 1:eca2und_p +  1:h_p +  1:udcpdp_p
676;ECAP2pp;Enterobacterial common antigen polymerase (periplasm); 1:eca2und_p +  1:unagamuf_p-> 1:eca3und_p +  1:h_p +  1:udcpdp_p
677;ENTERES;Enterochelin Esterase; 1:enter_c +  3:h2o_c-> 3:23dhbzs_c +  3:h_c
678;ECAP3pp;Enterobacterial common antigen polymerase (periplasm); 1:eca3und_p +  1:unagamuf_p-> 1:eca4und_p +  1:h_p +  1:udcpdp_p
679;ECAtpp;Enterobacterial common antigen transferase (flippase, cytoplasm to periplasm); 1:unagamuf_c-> 1:unagamuf_p
680;ECOAH1;3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA); 1:3hbcoa_c-> 1:b2coa_c +  1:h2o_c
681;ECOAH2;3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA); 1:3hhcoa_c-> 1:h2o_c +  1:hx2coa_c
682;ENTERES2;Enterochelin Esterase (Fe containing); 1:feenter_c +  3:h2o_c-> 3:23dhbzs_c +  1:fe3_c +  3:h_c
683;ECOAH3;3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA); 1:3hocoa_c-> 1:h2o_c +  1:oc2coa_c
684;ETHAAL;Ethanolamine ammonia-lyase; 1:etha_c-> 1:acald_c +  1:nh4_c
685;ECOAH4;3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA); 1:3hdcoa_c-> 1:dc2coa_c +  1:h2o_c
686;ECOAH5;3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA); 1:3hddcoa_c-> 1:dd2coa_c +  1:h2o_c
687;ETHAt2pp;Ethanolamine transport in via proton symport; 1:etha_p +  1:h_p-> 1:etha_c +  1:h_c
688;ECOAH6;3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA); 1:3htdcoa_c-> 1:h2o_c +  1:td2coa_c
689;ECOAH7;3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA); 1:3hhdcoa_c-> 1:h2o_c +  1:hdd2coa_c
690;ETHAtex;Ethanolamine transport via diffusion (extracellular); 1:etha_e-> 1:etha_p
691;ECOAH8;3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA); 1:3hodcoa_c-> 1:h2o_c +  1:od2coa_c
692;EDA;2-dehydro-3-deoxy-phosphogluconate aldolase; 1:2ddg6p_c-> 1:g3p_c +  1:pyr_c
693;EDD;6-phosphogluconate dehydratase; 1:6pgc_c-> 1:2ddg6p_c +  1:h2o_c
694;EDTXS1;Endotoxin Synthesis (lauroyl transferase); 1:ddcaACP_c +  1:kdo2lipid4_c-> 1:ACP_c +  1:kdo2lipid4L_c
695;EDTXS2;Endotoxin Synthesis (myristoyl transferase); 1:kdo2lipid4L_c +  1:myrsACP_c-> 1:ACP_c +  1:lipa_c
696;ETHSO3abcpp;Ethanesulfonate transport via ABC system (periplasm); 1:atp_c +  1:ethso3_p +  1:h2o_c-> 1:adp_c +  1:ethso3_c +  1:h_c +  1:pi_c
697;ETHSO3tex;Ethanesulfonate transport via diffusion (extracellular to periplasm); 1:ethso3_e-> 1:ethso3_p
698;ETOHt2rpp;Ethanol reversible transport via proton symport (periplasm); 1:etoh_p +  1:h_p-> 1:etoh_c +  1:h_c
699;ETOHtex;Ethanol transport via diffusion (extracellular to periplasm); 1:etoh_e-> 1:etoh_p
700;FA161ACPHi;Fatty-acyl-ACP hydrolase; 1:h2o_c +  1:hdeACP_c-> 1:ACP_c +  1:h_c +  1:hdcea_c
701;FA80ACPHi;Fatty-acyl-ACP hydrolase; 1:h2o_c +  1:ocACP_c-> 1:ACP_c +  1:h_c +  1:octa_c
702;FACOAE100;Fatty-acid-CoA thioesterase (decanoate); 1:dcacoa_c +  1:h2o_c-> 1:coa_c +  1:dca_c +  1:h_c
703;FACOAE120;Fatty-acid-CoA thioesterase (dodecanoate); 1:ddcacoa_c +  1:h2o_c-> 1:coa_c +  1:ddca_c +  1:h_c
704;FACOAE140;Fatty-acid-CoA thioesterase (tetradecanoate); 1:h2o_c +  1:tdcoa_c-> 1:coa_c +  1:h_c +  1:ttdca_c
705;FACOAE141;Fatty-acid-CoA thioesterase (tetradecenoate); 1:h2o_c +  1:tdecoa_c-> 1:coa_c +  1:h_c +  1:ttdcea_c
706;FACOAE160;Fatty-acid-CoA thioesterase (hexadecanoate); 1:h2o_c +  1:pmtcoa_c-> 1:coa_c +  1:h_c +  1:hdca_c
707;FACOAE161;Fatty-acid-CoA thioesterase (hexadecenoate); 1:h2o_c +  1:hdcoa_c-> 1:coa_c +  1:h_c +  1:hdcea_c
708;FACOAE180;Fatty-acid-CoA thioesterase (octadecanoate); 1:h2o_c +  1:stcoa_c-> 1:coa_c +  1:h_c +  1:ocdca_c
709;FACOAE181;Fatty-acid-CoA thioesterase (octadecenoate); 1:h2o_c +  1:odecoa_c-> 1:coa_c +  1:h_c +  1:ocdcea_c
